FECHA_DE_LA_ÚLTIMA_INTERVENCIÓN,count
99999,55172
2024-02-17 00:00:00,29
2024-02-12 00:00:00,27
2024-02-13 00:00:00,26
2023-12-07 00:00:00,26
2023-12-06 00:00:00,25
2024-02-08 00:00:00,21
2024-02-19 00:00:00,19
2023-07-12 00:00:00,19
2023-07-07 00:00:00,18
2023-04-04 00:00:00,18
2024-02-20 00:00:00,16
2023-12-12 00:00:00,16
2024-02-09 00:00:00,15
2023-04-12 00:00:00,15
2023-12-02 00:00:00,15
2023-08-09 00:00:00,15
2023-12-09 00:00:00,15
2024-02-06 00:00:00,14
2023-05-09 00:00:00,13
