FECHA.2,count
99999,54545
2025-01-27 00:00:00,49
2025-01-24 00:00:00,48
2025-01-15 00:00:00,44
2025-01-14 00:00:00,40
2025-01-28 00:00:00,38
2025-02-15 00:00:00,37
2025-02-22 00:00:00,36
2025-03-29 00:00:00,36
2025-01-30 00:00:00,35
2025-01-18 00:00:00,35
2024-12-28 00:00:00,35
2025-01-22 00:00:00,34
2025-01-25 00:00:00,34
2025-02-05 00:00:00,34
2025-02-24 00:00:00,34
2025-02-13 00:00:00,34
2024-12-27 00:00:00,33
2025-01-16 00:00:00,33
2025-01-29 00:00:00,32
